anteater_A,anteater_B,overlap,Sex.A,Age.A,Sex.B,Age.B,sex_comparison,proximity_low,proximity_est,proximity_high
Anthony,Alexander,0,Male,Subadult,Male,Adult,male:male,0.927605744,1.037404839,1.156396031
Bumpus,Alexander,0.54813899,Female,Adult,Male,Adult,male:female,0.820827279,0.916936645,1.020956444
Bumpus,Anthony,0,Female,Adult,Male,Subadult,male:female,0.882263451,0.978448909,1.082096836
Cate,Alexander,0.001192165,Female,Adult,Male,Adult,male:female,0.968926873,1.079735207,1.199357556
Cate,Anthony,0.178127345,Female,Adult,Male,Subadult,male:female,0.921544135,1.018050477,1.121714113
Cate,Bumpus,0.000282985,Female,Adult,Female,Adult,female:female,0.941530652,1.040427226,1.146650086
Christoffer,Alexander,0.007186623,Male,Adult,Male,Adult,male:male,0.94970781,1.103859958,1.275211208
Christoffer,Anthony,0.594550993,Male,Adult,Male,Subadult,male:male,0.882080111,1.017268598,1.167719983
Christoffer,Bumpus,0.000399366,Male,Adult,Female,Adult,male:female,0.866787465,0.996644948,1.140669957
Christoffer,Cate,0.207562096,Male,Adult,Female,Adult,male:female,0.913447753,1.05002128,1.201271975
Elaine,Alexander,0.000207823,Female,Adult,Male,Adult,male:female,0.736669004,1.042640448,1.415910402
Elaine,Anthony,0.568710981,Female,Adult,Male,Subadult,male:female,0.688426947,0.937901219,1.239977444
Elaine,Bumpus,0.003546956,Female,Adult,Female,Adult,female:female,0.7286245,0.990945079,1.307386212
Elaine,Cate,0.309492344,Female,Adult,Female,Adult,female:female,0.665131628,0.899796491,1.182068354
Elaine,Christoffer,0.429513748,Female,Adult,Male,Adult,male:female,0.379858422,0.44417811,0.517565563
Jackson,Alexander,0.139475675,Male,Adult,Male,Adult,male:male,0.902182487,1.007764517,1.122119566
Jackson,Anthony,0,Male,Adult,Male,Subadult,male:male,0.894237445,0.995333566,1.104744279
Jackson,Bumpus,0.411626163,Male,Adult,Female,Adult,male:female,0.904064255,1.007451283,1.119218796
Jackson,Cate,7.66E-05,Male,Adult,Female,Adult,male:female,0.890468876,0.987624004,1.092377772
Jackson,Christoffer,7.51E-05,Male,Adult,Male,Adult,male:male,0.880451343,1.007186849,1.146678133
Jackson,Elaine,0.000425087,Male,Adult,Female,Adult,male:female,0.727056905,0.971541471,1.262183329
Kyle,Alexander,0.569713688,Male,Subadult,Male,Adult,male:male,0.902366031,0.994235501,1.092753382
Kyle,Anthony,2.00E-09,Male,Subadult,Male,Subadult,male:male,0.916246079,1.004946906,1.099859058
Kyle,Bumpus,0.903747762,Male,Subadult,Female,Adult,male:female,0.777242041,0.849967521,0.927685619
Kyle,Cate,0.003027125,Male,Subadult,Female,Adult,male:female,0.938607214,1.02805534,1.123554131
Kyle,Christoffer,0.003313342,Male,Subadult,Male,Adult,male:male,1.017190263,1.154556042,1.304959044
Kyle,Elaine,0.004632041,Male,Subadult,Female,Adult,male:female,0.742667028,0.968132652,1.233524375
Kyle,Jackson,0.571133274,Male,Subadult,Male,Adult,male:male,0.857587148,0.941252817,1.030833685
Little Rick,Alexander,0.162190556,Male,Subadult,Male,Adult,male:male,0.839463537,0.994691594,1.170844077
Little Rick,Anthony,0,Male,Subadult,Male,Subadult,male:male,0.883812513,1.047334676,1.233615158
Little Rick,Bumpus,0.264187668,Male,Subadult,Female,Adult,male:female,0.837906344,0.98610131,1.154195104
