"anteater_A","anteater_B","overlap","Sex.A","Age.A","Sex.B","Age.B","sex_comparison","proximity_low","proximity_est","proximity_high"
"Beto","Annie",0.171717819395307,"Male","Adult","Female","Adult","male-female",0.878690607899951,0.976802783021941,1.08271581729583
"Jane","Annie",0.21511708657374,"Female","Adult","Female","Adult","female-female",0.867311814476926,0.959925991716873,1.05962183814648
"Jane","Beto",0.00167445502181947,"Female","Adult","Male","Adult","male-female",0.929010055144576,1.04409731229055,1.16912204859259
"Larry 267","Annie",0.96248328540117,"Male","Adult","Female","Adult","male-female",0.787986413547481,0.888095233957625,0.997122625275806
"Larry 267","Beto",0.236081789032366,"Male","Adult","Male","Adult","male-male",0.96922421325858,1.11133063094419,1.2671862900493
"Larry 267","Jane",0.0885523374023769,"Male","Adult","Female","Adult","male-female",0.8756436147819,0.999151918111421,1.13455976306479
"Margaret","Annie",0.0732583927256232,"Female","Adult","Female","Adult","female-female",0.89012711703049,0.998152355024638,1.11545236525604
"Margaret","Beto",0.679341663582934,"Female","Adult","Male","Adult","male-female",0.894393718683751,1.01776451400072,1.15275774558218
"Margaret","Jane",1.18309271424485e-05,"Female","Adult","Female","Adult","female-female",0.794325104895992,0.898146140358502,1.01159227428134
"Margaret","Larry 267",0.10918395694205,"Female","Adult","Male","Adult","male-female",0.774742625112598,0.897067358492508,1.03214879154591
"Reid","Annie",0.230512449619378,"Male","Subadult","Female","Adult","male-female",0.876701910945303,0.970839759064042,1.07223127602352
"Reid","Beto",0.869067530111001,"Male","Subadult","Male","Adult","male-male",0.853053509899307,0.959535368741,1.07552573386254
"Reid","Jane",0.00412989672063852,"Male","Subadult","Female","Adult","male-female",0.81517170448192,0.91319379711718,1.01964908008826
"Reid","Larry 267",0.275121655432547,"Male","Subadult","Male","Adult","male-male",0.754525036024589,0.862792321200506,0.982013682378504
"Reid","Margaret",0.782388292431658,"Male","Subadult","Female","Adult","male-female",0.803694017905118,0.914584769849303,1.03635644633253
"Thomas","Annie",0.0808922588129941,"Male","Adult","Female","Adult","male-female",0.98502127249217,1.10993328111025,1.24543361046188
"Thomas","Beto",0.686936825098589,"Male","Adult","Male","Adult","male-male",0.949640141253679,1.08582618155265,1.23475144009048
"Thomas","Jane",9.87591204839116e-05,"Male","Adult","Female","Adult","male-female",0.831892413011962,0.941063940127523,1.06007861613681
"Thomas","Larry 267",0.116285113834534,"Male","Adult","Male","Adult","male-male",0.786846390730843,0.900961281019956,1.02636737290162
"Thomas","Margaret",0.915141691239454,"Male","Adult","Female","Adult","male-female",0.705776260053292,0.803216888902129,0.910102421159783
"Thomas","Reid",0.725948410892731,"Male","Adult","Male","Subadult","male-male",0.743217930504255,0.841604388821565,0.949175504747246
